SegmentIndex;               Timestamp;    GroupIdx;     EchoIdx;    PointIdx;           X;           Y;           Z;       Range;     Azimuth;   Elevation;   Intensity
           8;       1706395794.150187;           0;           0;           0;       0.855;       1.007;      -0.545;       1.429;  0.86721921; -0.39097458;   27391.000
           8;       1706395794.150187;           0;           0;           1;       0.821;       1.002;      -0.534;       1.401;  0.88467252; -0.39097458;   25087.000
           8;       1706395794.150187;           0;           0;           2;       0.794;       1.005;      -0.528;       1.386;  0.90212578; -0.39097458;   25599.000
           8;       1706395794.150187;           0;           0;           3;       0.766;       1.004;      -0.521;       1.366;  0.91957909; -0.39097458;   27775.000
           8;       1706395794.150187;           0;           0;           4;       0.737;       1.004;      -0.513;       1.347;  0.93703240; -0.39097458;   31231.000
           8;       1706395794.150187;           0;           0;           5;       0.717;       1.012;      -0.511;       1.342;  0.95448565; -0.39097458;   32639.000
           8;       1706395794.150187;           0;           0;           6;       0.692;       1.014;      -0.506;       1.328;  0.97193897; -0.39097458;   35583.000
           8;       1706395794.150187;           0;           0;           7;       0.667;       1.014;      -0.500;       1.313;  0.98939228; -0.39097458;   35455.000
           8;       1706395794.150187;           0;           0;           8;       0.648;       1.024;      -0.500;       1.311;  1.00684559; -0.39097458;   35711.000
           8;       1706395794.150187;           0;           0;           9;       0.628;       1.032;      -0.498;       1.307;  1.02429879; -0.39097458;   37247.000
           8;       1706395794.150187;           0;           0;          10;       0.608;       1.041;      -0.497;       1.304;  1.04175210; -0.39097458;   37119.000
           8;       1706395794.150187;           0;           0;          11;       0.591;       1.052;      -0.497;       1.305;  1.05920541; -0.39097458;   37247.000
           8;       1706395794.150187;           0;           0;          12;       0.575;       1.067;      -0.500;       1.311;  1.07665873; -0.39097458;   38271.000
           8;       1706395794.150187;           0;           0;          13;       0.556;       1.076;      -0.499;       1.310;  1.09411204; -0.39097458;   36991.000
           8;       1706395794.150187;           0;           0;          14;       0.540;       1.091;      -0.502;       1.317;  1.11156535; -0.39097458;   37759.000
