SegmentIndex;               Timestamp;    GroupIdx;     EchoIdx;    PointIdx;           X;           Y;           Z;       Range;     Azimuth;   Elevation;   Intensity
           9;       1706395794.068671;           0;           0;           0;       0.227;       1.248;      -0.523;       1.372;  1.39081800; -0.39097458;   37631.000
           9;       1706395794.068671;           0;           0;           1;       0.205;       1.252;      -0.523;       1.372;  1.40827131; -0.39097458;   38783.000
           9;       1706395794.068671;           0;           0;           2;       0.182;       1.249;      -0.520;       1.365;  1.42572463; -0.39097458;   40575.000
           9;       1706395794.068671;           0;           0;           3;       0.160;       1.246;      -0.518;       1.359;  1.44317782; -0.39097458;   38911.000
           9;       1706395794.068671;           0;           0;           4;       0.138;       1.251;      -0.519;       1.361;  1.46063113; -0.39097458;   39551.000
           9;       1706395794.068671;           0;           0;           5;       0.117;       1.256;      -0.520;       1.364;  1.47808444; -0.39097458;   38783.000
           9;       1706395794.068671;           0;           0;           6;       0.095;       1.261;      -0.521;       1.368;  1.49553776; -0.39097458;   37759.000
           9;       1706395794.068671;           0;           0;           7;       0.073;       1.265;      -0.522;       1.370;  1.51299107; -0.39097458;   36095.000
           9;       1706395794.068671;           0;           0;           8;       0.052;       1.279;      -0.528;       1.385;  1.53044438; -0.39097458;   35327.000
           9;       1706395794.068671;           0;           0;           9;       0.029;       1.285;      -0.530;       1.390;  1.54789758; -0.39097458;   36479.000
           9;       1706395794.068671;           0;           0;          10;       0.007;       1.292;      -0.532;       1.397;  1.56535089; -0.39097458;   33535.000
           9;       1706395794.068671;           0;           0;          11;      -0.016;       1.307;      -0.539;       1.414;  1.58280420; -0.39097458;   28671.000
           9;       1706395794.068671;           0;           0;          12;      -0.039;       1.321;      -0.545;       1.429;  1.60025752; -0.39097458;   24959.000
           9;       1706395794.068671;           0;           0;          13;      -0.063;       1.339;      -0.553;       1.450;  1.61771083; -0.39097458;   22271.000
           9;       1706395794.068671;           0;           0;          14;      -0.093;       1.437;      -0.593;       1.557;  1.63516414; -0.39097458;   45311.000
           9;       1706395794.068671;           0;           0;          15;      -0.122;       1.487;      -0.615;       1.614;  1.65261734; -0.39097458;   46207.000
           9;       1706395794.068671;           0;           0;          16;      -0.152;       1.525;      -0.632;       1.658;  1.67007065; -0.39097458;   40063.000
           9;       1706395794.068671;           0;           0;          17;       0.000;       0.000;       0.000;       0.000;  1.68752396; -0.39097458;       0.000
           9;       1706395794.068671;           0;           0;          18;       0.000;       0.000;       0.000;       0.000;  1.70497727; -0.39097458;       0.000
           9;       1706395794.068671;           0;           0;          19;       0.000;       0.000;       0.000;       0.000;  1.72243059; -0.39097458;       0.000
           9;       1706395794.068671;           0;           0;          20;       0.000;       0.000;       0.000;       0.000;  1.73988390; -0.39097458;       0.000
           9;       1706395794.068671;           0;           0;          21;       0.000;       0.000;       0.000;       0.000;  1.75733709; -0.39097458;       0.000
           9;       1706395794.068671;           0;           0;          22;       0.000;       0.000;       0.000;       0.000;  1.77479041; -0.39097458;       0.000
           9;       1706395794.068671;           0;           0;          23;      -0.322;       1.431;      -0.604;       1.586;  1.79224372; -0.39097458;   44799.000
           9;       1706395794.068671;           0;           0;          24;      -0.347;       1.423;      -0.604;       1.584;  1.80969703; -0.39097458;   43007.000
           9;       1706395794.068671;           0;           0;          25;      -0.380;       1.448;      -0.617;       1.619;  1.82715034; -0.39097458;   35327.000
           9;       1706395794.068671;           0;           0;          26;      -0.413;       1.471;      -0.630;       1.653;  1.84460366; -0.39097458;    8447.000
           9;       1706395794.068671;           0;           0;          27;      -0.455;       1.517;      -0.653;       1.713;  1.86205685; -0.39097458;    8191.000
           9;       1706395794.068671;           0;           0;          28;      -0.528;       1.655;      -0.716;       1.879;  1.87951016; -0.39097458;   39679.000
           9;       1706395794.068671;           0;           0;          29;      -0.763;       2.257;      -0.982;       2.577;  1.89696348; -0.39097458;   56703.000
           9;       1706395794.068671;           0;           1;           0;       0.000;       0.000;       0.000;       0.000;  1.39081800; -0.39097458;       0.000
           9;       1706395794.068671;           0;           1;           1;       0.000;       0.000;       0.000;       0.000;  1.40827131; -0.39097458;       0.000
           9;       1706395794.068671;           0;           1;           2;       0.000;       0.000;       0.000;       0.000;  1.42572463; -0.39097458;       0.000
           9;       1706395794.068671;           0;           1;           3;       0.000;       0.000;       0.000;       0.000;  1.44317782; -0.39097458;       0.000
           9;       1706395794.068671;           0;           1;           4;       0.000;       0.000;       0.000;       0.000;  1.46063113; -0.39097458;       0.000
           9;       1706395794.068671;           0;           1;           5;       0.000;       0.000;       0.000;       0.000;  1.47808444; -0.39097458;       0.000
           9;       1706395794.068671;           0;           1;           6;       0.000;       0.000;       0.000;       0.000;  1.49553776; -0.39097458;       0.000
           9;       1706395794.068671;           0;           1;           7;       0.000;       0.000;       0.000;       0.000;  1.51299107; -0.39097458;       0.000
           9;       1706395794.068671;           0;           1;           8;       0.000;       0.000;       0.000;       0.000;  1.53044438; -0.39097458;       0.000
           9;       1706395794.068671;           0;           1;           9;       0.000;       0.000;       0.000;       0.000;  1.54789758; -0.39097458;       0.000
           9;       1706395794.068671;           0;           1;          10;       0.000;       0.000;       0.000;       0.000;  1.56535089; -0.39097458;       0.000
           9;       1706395794.068671;           0;           1;          11;       0.000;       0.000;       0.000;       0.000;  1.58280420; -0.39097458;       0.000
           9;       1706395794.068671;           0;           1;          12;       0.000;       0.000;       0.000;       0.000;  1.60025752; -0.39097458;       0.000
           9;       1706395794.068671;           0;           1;          13;       0.000;       0.000;       0.000;       0.000;  1.61771083; -0.39097458;       0.000
           9;       1706395794.068671;           0;           1;          14;       0.000;       0.000;       0.000;       0.000;  1.63516414; -0.39097458;       0.000
           9;       1706395794.068671;           0;           1;          15;       0.000;       0.000;       0.000;       0.000;  1.65261734; -0.39097458;       0.000
           9;       1706395794.068671;           0;           1;          16;       0.000;       0.000;       0.000;       0.000;  1.67007065; -0.39097458;       0.000
