SegmentIndex;               Timestamp;    GroupIdx;     EchoIdx;    PointIdx;           X;           Y;           Z;       Range;     Azimuth;   Elevation;   Intensity
           2;       1706395793.686213;           0;           0;           0;      -0.174;      -0.205;      -0.111;       0.291; -2.27437353; -0.39097458;   45439.000
           2;       1706395793.686213;           0;           0;           1;      -0.174;      -0.212;      -0.113;       0.297; -2.25692034; -0.39097458;   46335.000
           2;       1706395793.686213;           0;           0;           2;      -0.164;      -0.207;      -0.109;       0.286; -2.23946691; -0.39097458;   45055.000
           2;       1706395793.686213;           0;           0;           3;      -0.159;      -0.208;      -0.108;       0.283; -2.22201371; -0.39097458;   44799.000
           2;       1706395793.686213;           0;           0;           4;      -0.159;      -0.216;      -0.111;       0.290; -2.20456028; -0.39097458;   45567.000
           2;       1706395793.686213;           0;           0;           5;      -0.158;      -0.223;      -0.112;       0.295; -2.18710709; -0.39097458;   45951.000
           2;       1706395793.686213;           0;           0;           6;      -0.150;      -0.220;      -0.110;       0.288; -2.16965389; -0.39097458;   45183.000
           2;       1706395793.686213;           0;           0;           7;      -0.147;      -0.224;      -0.111;       0.290; -2.15220046; -0.39097458;   44927.000
           2;       1706395793.686213;           0;           0;           8;      -0.146;      -0.231;      -0.113;       0.296; -2.13474727; -0.39097458;   45183.000
           2;       1706395793.686213;           0;           0;           9;      -0.141;      -0.231;      -0.112;       0.293; -2.11729383; -0.39097458;   44671.000
           2;       1706395793.686213;           0;           0;          10;      -0.140;      -0.239;      -0.114;       0.300; -2.09984064; -0.39097458;   45055.000
           2;       1706395793.686213;           0;           0;          11;      -0.135;      -0.241;      -0.114;       0.299; -2.08238721; -0.39097458;   44799.000
           2;       1706395793.686213;           0;           0;          12;      -0.129;      -0.240;      -0.112;       0.295; -2.06493402; -0.39097458;   44287.000
           2;       1706395793.686213;           0;           0;          13;      -0.126;      -0.243;      -0.113;       0.296; -2.04748082; -0.39097458;   44031.000
           2;       1706395793.686213;           0;           0;          14;      -0.123;      -0.249;      -0.115;       0.301; -2.03002739; -0.39097458;   44415.000
           2;       1706395793.686213;           0;           0;          15;      -0.124;      -0.262;      -0.120;       0.314; -2.01257420; -0.39097458;   45183.000
           2;       1706395793.686213;           0;           0;          16;      -0.118;      -0.261;      -0.118;       0.310; -1.99512088; -0.39097458;   44927.000
           2;       1706395793.686213;           0;           0;          17;      -0.122;      -0.284;      -0.127;       0.334; -1.97766757; -0.39097458;   46975.000
           2;       1706395793.686213;           0;           0;          18;      -0.118;      -0.287;      -0.128;       0.335; -1.96021426; -0.39097458;   47231.000
           2;       1706395793.686213;           0;           0;          19;      -0.112;      -0.288;      -0.127;       0.334; -1.94276094; -0.39097458;   47615.000
           2;       1706395793.686213;           0;           0;          20;      -0.106;      -0.285;      -0.125;       0.329; -1.92530763; -0.39097458;   46335.000
           2;       1706395793.686213;           0;           0;          21;      -0.100;      -0.285;      -0.125;       0.327; -1.90785444; -0.39097458;   45823.000
           2;       1706395793.686213;           0;           0;          22;      -0.092;      -0.279;      -0.121;       0.318; -1.89040112; -0.39097458;   44543.000
           2;       1706395793.686213;           0;           0;          23;      -0.087;      -0.278;      -0.120;       0.315; -1.87294781; -0.39097458;   44287.000
           2;       1706395793.686213;           0;           0;          24;      -0.084;      -0.287;      -0.123;       0.324; -1.85549450; -0.39097458;   45055.000
           2;       1706395793.686213;           0;           0;          25;      -0.078;      -0.286;      -0.122;       0.321; -1.83804119; -0.39097458;   44287.000
           2;       1706395793.686213;           0;           0;          26;      -0.073;      -0.287;      -0.122;       0.320; -1.82058787; -0.39097458;   44287.000
           2;       1706395793.686213;           0;           0;          27;      -0.068;      -0.286;      -0.121;       0.318; -1.80313468; -0.39097458;   44031.000
           2;       1706395793.686213;           0;           0;          28;      -0.063;      -0.291;      -0.123;       0.322; -1.78568137; -0.39097458;   44159.000
           2;       1706395793.686213;           0;           0;          29;      -0.058;      -0.292;      -0.123;       0.322; -1.76822805; -0.39097458;   44159.000
           2;       1706395793.686213;           0;           1;           0;       0.000;       0.000;       0.000;       0.000; -2.27437353; -0.39097458;       0.000
           2;       1706395793.686213;           0;           1;           1;       0.000;       0.000;       0.000;       0.000; -2.25692034; -0.39097458;       0.000
           2;       1706395793.686213;           0;           1;           2;       0.000;       0.000;       0.000;       0.000; -2.23946691; -0.39097458;       0.000
           2;       1706395793.686213;           0;           1;           3;       0.000;       0.000;       0.000;       0.000; -2.22201371; -0.39097458;       0.000
           2;       1706395793.686213;           0;           1;           4;       0.000;       0.000;       0.000;       0.000; -2.20456028; -0.39097458;       0.000
           2;       1706395793.686213;           0;           1;           5;       0.000;       0.000;       0.000;       0.000; -2.18710709; -0.39097458;       0.000
           2;       1706395793.686213;           0;           1;           6;       0.000;       0.000;       0.000;       0.000; -2.16965389; -0.39097458;       0.000
           2;       1706395793.686213;           0;           1;           7;       0.000;       0.000;       0.000;       0.000; -2.15220046; -0.39097458;       0.000
           2;       1706395793.686213;           0;           1;           8;       0.000;       0.000;       0.000;       0.000; -2.13474727; -0.39097458;       0.000
           2;       1706395793.686213;           0;           1;           9;       0.000;       0.000;       0.000;       0.000; -2.11729383; -0.39097458;       0.000
           2;       1706395793.686213;           0;           1;          10;       0.000;       0.000;       0.000;       0.000; -2.09984064; -0.39097458;       0.000
           2;       1706395793.686213;           0;           1;          11;       0.000;       0.000;       0.000;       0.000; -2.08238721; -0.39097458;       0.000
           2;       1706395793.686213;           0;           1;          12;       0.000;       0.000;       0.000;       0.000; -2.06493402; -0.39097458;       0.000
           2;       1706395793.686213;           0;           1;          13;       0.000;       0.000;       0.000;       0.000; -2.04748082; -0.39097458;       0.000
           2;       1706395793.686213;           0;           1;          14;       0.000;       0.000;       0.000;       0.000; -2.03002739; -0.39097458;       0.000
           2;       1706395793.686213;           0;           1;          15;       0.000;       0.000;       0.000;       0.000; -2.01257420; -0.39097458;       0.000
           2;       1706395793.686213;           0;           1;          16;       0.000;       0.000;       0.000;       0.000; -1.99512088; -0.39097458;       0.000
           2;       1706395793.686213;           0;           1;          17;       0.000;       0.000;       0.000;       0.000; -1.97766757; -0.39097458;       0.000
           2;       1706395793.686213;           0;           1;          18;       0.000;       0.000;       0.000;       0.000; -1.96021426; -0.39097458;       0.000
           2;       1706395793.686213;           0;           1;          19;       0.000;       0.000;       0.000;       0.000; -1.94276094; -0.39097458;       0.000
           2;       1706395793.686213;           0;           1;          20;       0.000;       0.000;       0.000;       0.000; -1.92530763; -0.39097458;       0.000
           2;       1706395793.686213;           0;           1;          21;       0.000;       0.000;       0.000;       0.000; -1.90785444; -0.39097458;       0.000
           2;       1706395793.686213;           0;           1;          22;       0.000;       0.000;       0.000;       0.000; -1.89040112; -0.39097458;       0.000
           2;       1706395793.686213;           0;           1;          23;       0.000;       0.000;       0.000;       0.000; -1.87294781; -0.39097458;       0.000
           2;       1706395793.686213;           0;           1;          24;       0.000;       0.000;       0.000;       0.000; -1.85549450; -0.39097458;       0.000
           2;       1706395793.686213;           0;           1;          25;       0.000;       0.000;       0.000;       0.000; -1.83804119; -0.39097458;       0.000
           2;       1706395793.686213;           0;           1;          26;       0.000;       0.000;       0.000;       0.000; -1.82058787; -0.39097458;       0.000
           2;       1706395793.686213;           0;           1;          27;       0.000;       0.000;       0.000;       0.000; -1.80313468; -0.39097458;       0.000
           2;       1706395793.686213;           0;           1;          28;       0.000;       0.000;       0.000;       0.000; -1.78568137; -0.39097458;       0.000
           2;       1706395793.686213;           0;           1;          29;       0.000;       0.000;       0.000;       0.000; -1.76822805; -0.39097458;       0.000
           2;       1706395793.686213;           0;           2;           0;       0.000;       0.000;       0.000;       0.000; -2.27437353; -0.39097458;       0.000
           2;       1706395793.686213;           0;           2;           1;       0.000;       0.000;       0.000;       0.000; -2.25692034; -0.39097458;       0.000
           2;       1706395793.686213;           0;           2;           2;       0.000;       0.000;       0.000;       0.000; -2.23946691; -0.39097458;       0.000
           2;       1706395793.686213;           0;           2;           3;       0.000;       0.000;       0.000;       0.000; -2.22201371; -0.39097458;       0.000
           2;       1706395793.686213;           0;           2;           4;       0.000;       0.000;       0.000;       0.000; -2.20456028; -0.39097458;       0.000
           2;       1706395793.686213;           0;           2;           5;       0.000;       0.000;       0.000;       0.000; -2.18710709; -0.39097458;       0.000
           2;       1706395793.686213;           0;           2;           6;       0.000;       0.000;       0.000;       0.000; -2.16965389; -0.39097458;       0.000
           2;       1706395793.686213;           0;           2;           7;       0.000;       0.000;       0.000;       0.000; -2.15220046; -0.39097458;       0.000
           2;       1706395793.686213;           0;           2;           8;       0.000;       0.000;       0.000;       0.000; -2.13474727; -0.39097458;       0.000
           2;       1706395793.686213;           0;           2;           9;       0.000;       0.000;       0.000;       0.000; -2.11729383; -0.39097458;       0.000
           2;       1706395793.686213;           0;           2;          10;       0.000;       0.000;       0.000;       0.000; -2.09984064; -0.39097458;       0.000
           2;       1706395793.686213;           0;           2;          11;       0.000;       0.000;       0.000;       0.000; -2.08238721; -0.39097458;       0.000
           2;       1706395793.686213;           0;           2;          12;       0.000;       0.000;       0.000;       0.000; -2.06493402; -0.39097458;       0.000
           2;       1706395793.686213;           0;           2;          13;       0.000;       0.000;       0.000;       0.000; -2.04748082; -0.39097458;       0.000
           2;       1706395793.686213;           0;           2;          14;       0.000;       0.000;       0.000;       0.000; -2.03002739; -0.39097458;       0.000
           2;       1706395793.686213;           0;           2;          15;       0.000;       0.000;       0.000;       0.000; -2.01257420; -0.39097458;       0.000
           2;       1706395793.686213;           0;           2;          16;       0.000;       0.000;       0.000;       0.000; -1.99512088; -0.39097458;       0.000
           2;       1706395793.686213;           0;           2;          17;       0.000;       0.000;       0.000;       0.000; -1.97766757; -0.39097458;       0.000
           2;       1706395793.686213;           0;           2;          18;       0.000;       0.000;       0.000;       0.000; -1.96021426; -0.39097458;       0.000
           2;       1706395793.686213;           0;           2;          19;       0.000;       0.000;       0.000;       0.000; -1.94276094; -0.39097458;       0.000
           2;       1706395793.686213;           0;           2;          20;       0.000;       0.000;       0.000;       0.000; -1.92530763; -0.39097458;       0.000
           2;       1706395793.686213;           0;           2;          21;       0.000;       0.000;       0.000;       0.000; -1.90785444; -0.39097458;       0.000
           2;       1706395793.686213;           0;           2;          22;       0.000;       0.000;       0.000;       0.000; -1.89040112; -0.39097458;       0.000
           2;       1706395793.686213;           0;           2;          23;       0.000;       0.000;       0.000;       0.000; -1.87294781; -0.39097458;       0.000
