SegmentIndex;               Timestamp;    GroupIdx;     EchoIdx;    PointIdx;           X;           Y;           Z;       Range;     Azimuth;   Elevation;   Intensity
           5;       1706395794.312443;           0;           0;           0;       0.000;       0.000;       0.000;       0.000; -0.70357752; -0.39097458;       0.000
           5;       1706395794.312443;           0;           0;           1;       0.000;       0.000;       0.000;       0.000; -0.68612421; -0.39097458;       0.000
           5;       1706395794.312443;           0;           0;           2;       0.000;       0.000;       0.000;       0.000; -0.66867095; -0.39097458;       0.000
           5;       1706395794.312443;           0;           0;           3;       0.000;       0.000;       0.000;       0.000; -0.65121764; -0.39097458;       0.000
           5;       1706395794.312443;           0;           0;           4;       0.000;       0.000;       0.000;       0.000; -0.63376433; -0.39097458;       0.000
           5;       1706395794.312443;           0;           0;           5;       0.000;       0.000;       0.000;       0.000; -0.61631107; -0.39097458;       0.000
           5;       1706395794.312443;           0;           0;           6;       0.000;       0.000;       0.000;       0.000; -0.59885776; -0.39097458;       0.000
           5;       1706395794.312443;           0;           0;           7;       0.000;       0.000;       0.000;       0.000; -0.58140445; -0.39097458;       0.000
           5;       1706395794.312443;           0;           0;           8;       0.000;       0.000;       0.000;       0.000; -0.56395119; -0.39097458;       0.000
           5;       1706395794.312443;           0;           0;           9;       0.000;       0.000;       0.000;       0.000; -0.54649788; -0.39097458;       0.000
           5;       1706395794.312443;           0;           0;          10;       0.000;       0.000;       0.000;       0.000; -0.52904457; -0.39097458;       0.000
           5;       1706395794.312443;           0;           0;          11;       0.000;       0.000;       0.000;       0.000; -0.51159132; -0.39097458;       0.000
           5;       1706395794.312443;           0;           0;          12;       0.000;       0.000;       0.000;       0.000; -0.49413800; -0.39097458;       0.000
           5;       1706395794.312443;           0;           0;          13;       0.000;       0.000;       0.000;       0.000; -0.47668472; -0.39097458;       0.000
           5;       1706395794.312443;           0;           0;          14;       0.000;       0.000;       0.000;       0.000; -0.45923144; -0.39097458;       0.000
           5;       1706395794.312443;           0;           0;          15;       0.000;       0.000;       0.000;       0.000; -0.44177812; -0.39097458;       0.000
           5;       1706395794.312443;           0;           0;          16;       0.000;       0.000;       0.000;       0.000; -0.42432484; -0.39097458;       0.000
           5;       1706395794.312443;           0;           0;          17;       0.000;       0.000;       0.000;       0.000; -0.40687156; -0.39097458;       0.000
           5;       1706395794.312443;           0;           0;          18;       0.000;       0.000;       0.000;       0.000; -0.38941824; -0.39097458;       0.000
           5;       1706395794.312443;           0;           0;          19;       0.000;       0.000;       0.000;       0.000; -0.37196496; -0.39097458;       0.000
           5;       1706395794.312443;           0;           0;          20;       0.000;       0.000;       0.000;       0.000; -0.35451168; -0.39097458;       0.000
           5;       1706395794.312443;           0;           0;          21;       0.000;       0.000;       0.000;       0.000; -0.33705837; -0.39097458;       0.000
           5;       1706395794.312443;           0;           0;          22;       0.000;       0.000;       0.000;       0.000; -0.31960508; -0.39097458;       0.000
           5;       1706395794.312443;           0;           0;          23;       0.000;       0.000;       0.000;       0.000; -0.30215180; -0.39097458;       0.000
           5;       1706395794.312443;           0;           0;          24;       0.000;       0.000;       0.000;       0.000; -0.28469849; -0.39097458;       0.000
           5;       1706395794.312443;           0;           0;          25;       0.000;       0.000;       0.000;       0.000; -0.26724520; -0.39097458;       0.000
           5;       1706395794.312443;           0;           0;          26;       0.000;       0.000;       0.000;       0.000; -0.24979192; -0.39097458;       0.000
