SegmentIndex;               Timestamp;    GroupIdx;     EchoIdx;    PointIdx;           X;           Y;           Z;       Range;     Azimuth;   Elevation;   Intensity
           7;       1706395794.135458;           0;           0;           0;       0.000;       0.000;       0.000;       0.000;  0.34362042; -0.39097458;       0.000
           7;       1706395794.135458;           0;           0;           1;       0.000;       0.000;       0.000;       0.000;  0.36107370; -0.39097458;       0.000
           7;       1706395794.135458;           0;           0;           2;       0.000;       0.000;       0.000;       0.000;  0.37852702; -0.39097458;       0.000
           7;       1706395794.135458;           0;           0;           3;       0.000;       0.000;       0.000;       0.000;  0.39598030; -0.39097458;       0.000
           7;       1706395794.135458;           0;           0;           4;       0.000;       0.000;       0.000;       0.000;  0.41343358; -0.39097458;       0.000
           7;       1706395794.135458;           0;           0;           5;       0.000;       0.000;       0.000;       0.000;  0.43088689; -0.39097458;       0.000
           7;       1706395794.135458;           0;           0;           6;       0.156;       0.075;      -0.071;       0.187;  0.44834018; -0.39097458;    8703.000
           7;       1706395794.135458;           0;           0;           7;       0.168;       0.084;      -0.077;       0.203;  0.46579346; -0.39097458;   33023.000
           7;       1706395794.135458;           0;           0;           8;       0.174;       0.091;      -0.081;       0.212;  0.48324674; -0.39097458;   34175.000
           7;       1706395794.135458;           0;           0;           9;       0.162;       0.089;      -0.076;       0.200;  0.50070006; -0.39097458;   30207.000
           7;       1706395794.135458;           0;           0;          10;       0.000;       0.000;       0.000;       0.000;  0.51815337; -0.39097458;       0.000
           7;       1706395794.135458;           0;           0;          11;       1.299;       0.771;      -0.623;       1.634;  0.53560662; -0.39097458;   18815.000
           7;       1706395794.135458;           0;           0;          12;       1.267;       0.782;      -0.614;       1.611;  0.55305994; -0.39097458;   37887.000
           7;       1706395794.135458;           0;           0;          13;       1.242;       0.797;      -0.608;       1.596;  0.57051325; -0.39097458;   41343.000
           7;       1706395794.135458;           0;           0;          14;       1.236;       0.824;      -0.612;       1.607;  0.58796650; -0.39097458;   44671.000
           7;       1706395794.135458;           0;           0;          15;       1.216;       0.842;      -0.610;       1.600;  0.60541981; -0.39097458;   44799.000
           7;       1706395794.135458;           0;           0;          16;       1.193;       0.857;      -0.606;       1.589;  0.62287307; -0.39097458;   43903.000
           7;       1706395794.135458;           0;           0;          17;       1.183;       0.882;      -0.608;       1.596;  0.64032638; -0.39097458;   44031.000
           7;       1706395794.135458;           0;           0;          18;       1.172;       0.905;      -0.611;       1.602;  0.65777969; -0.39097458;   44287.000
           7;       1706395794.135458;           0;           0;          19;       1.152;       0.922;      -0.608;       1.596;  0.67523295; -0.39097458;   44543.000
           7;       1706395794.135458;           0;           0;          20;       1.138;       0.945;      -0.610;       1.600;  0.69268626; -0.39097458;   45823.000
           7;       1706395794.135458;           0;           0;          21;       1.099;       0.945;      -0.598;       1.568;  0.71013957; -0.39097458;   43775.000
           7;       1706395794.135458;           0;           0;          22;       1.076;       0.959;      -0.594;       1.559;  0.72759283; -0.39097458;   42879.000
           7;       1706395794.135458;           0;           0;          23;       1.091;       1.006;      -0.612;       1.605;  0.74504614; -0.39097458;   44799.000
           7;       1706395794.135458;           0;           0;          24;       0.000;       0.000;       0.000;       0.000;  0.76249945; -0.39097458;       0.000
           7;       1706395794.135458;           0;           0;          25;       0.000;       0.000;       0.000;       0.000;  0.77995270; -0.39097458;       0.000
           7;       1706395794.135458;           0;           0;          26;       0.000;       0.000;       0.000;       0.000;  0.79740602; -0.39097458;       0.000
           7;       1706395794.135458;           0;           0;          27;       0.000;       0.000;       0.000;       0.000;  0.81485933; -0.39097458;       0.000
           7;       1706395794.135458;           0;           0;          28;       0.882;       0.969;      -0.540;       1.417;  0.83231258; -0.39097458;   19199.000
           7;       1706395794.135458;           0;           0;          29;       0.869;       0.989;      -0.543;       1.424;  0.84976590; -0.39097458;   31615.000
           7;       1706395794.135458;           0;           1;           0;       0.000;       0.000;       0.000;       0.000;  0.34362042; -0.39097458;       0.000
           7;       1706395794.135458;           0;           1;           1;       0.000;       0.000;       0.000;       0.000;  0.36107370; -0.39097458;       0.000
           7;       1706395794.135458;           0;           1;           2;       0.000;       0.000;       0.000;       0.000;  0.37852702; -0.39097458;       0.000
           7;       1706395794.135458;           0;           1;           3;       0.000;       0.000;       0.000;       0.000;  0.39598030; -0.39097458;       0.000
           7;       1706395794.135458;           0;           1;           4;       0.000;       0.000;       0.000;       0.000;  0.41343358; -0.39097458;       0.000
           7;       1706395794.135458;           0;           1;           5;       0.000;       0.000;       0.000;       0.000;  0.43088689; -0.39097458;       0.000
           7;       1706395794.135458;           0;           1;           6;       0.000;       0.000;       0.000;       0.000;  0.44834018; -0.39097458;       0.000
           7;       1706395794.135458;           0;           1;           7;       0.000;       0.000;       0.000;       0.000;  0.46579346; -0.39097458;       0.000
           7;       1706395794.135458;           0;           1;           8;       0.000;       0.000;       0.000;       0.000;  0.48324674; -0.39097458;       0.000
           7;       1706395794.135458;           0;           1;           9;       0.000;       0.000;       0.000;       0.000;  0.50070006; -0.39097458;       0.000
           7;       1706395794.135458;           0;           1;          10;       0.000;       0.000;       0.000;       0.000;  0.51815337; -0.39097458;       0.000
           7;       1706395794.135458;           0;           1;          11;       0.000;       0.000;       0.000;       0.000;  0.53560662; -0.39097458;       0.000
           7;       1706395794.135458;           0;           1;          12;       0.000;       0.000;       0.000;       0.000;  0.55305994; -0.39097458;       0.000
