SegmentIndex;               Timestamp;    GroupIdx;     EchoIdx;    PointIdx;           X;           Y;           Z;       Range;     Azimuth;   Elevation;   Intensity
           4;       1706395794.351725;           0;           0;           0;       0.607;      -1.697;      -0.743;       1.949; -1.22717619; -0.39097458;   15871.000
           4;       1706395794.351725;           0;           0;           1;       0.000;       0.000;       0.000;       0.000; -1.20972288; -0.39097458;       0.000
           4;       1706395794.351725;           0;           0;           2;       0.000;       0.000;       0.000;       0.000; -1.19226956; -0.39097458;       0.000
           4;       1706395794.351725;           0;           0;           3;       0.000;       0.000;       0.000;       0.000; -1.17481637; -0.39097458;       0.000
           4;       1706395794.351725;           0;           0;           4;       0.000;       0.000;       0.000;       0.000; -1.15736306; -0.39097458;       0.000
           4;       1706395794.351725;           0;           0;           5;       0.000;       0.000;       0.000;       0.000; -1.13990974; -0.39097458;       0.000
           4;       1706395794.351725;           0;           0;           6;       0.000;       0.000;       0.000;       0.000; -1.12245643; -0.39097458;       0.000
           4;       1706395794.351725;           0;           0;           7;       0.000;       0.000;       0.000;       0.000; -1.10500312; -0.39097458;       0.000
           4;       1706395794.351725;           0;           0;           8;       0.000;       0.000;       0.000;       0.000; -1.08754981; -0.39097458;       0.000
           4;       1706395794.351725;           0;           0;           9;       0.000;       0.000;       0.000;       0.000; -1.07009661; -0.39097458;       0.000
           4;       1706395794.351725;           0;           0;          10;       0.000;       0.000;       0.000;       0.000; -1.05264330; -0.39097458;       0.000
           4;       1706395794.351725;           0;           0;          11;       0.000;       0.000;       0.000;       0.000; -1.03518999; -0.39097458;       0.000
           4;       1706395794.351725;           0;           0;          12;       0.000;       0.000;       0.000;       0.000; -1.01773667; -0.39097458;       0.000
           4;       1706395794.351725;           0;           0;          13;       0.000;       0.000;       0.000;       0.000; -1.00028336; -0.39097458;       0.000
           4;       1706395794.351725;           0;           0;          14;       0.000;       0.000;       0.000;       0.000; -0.98283011; -0.39097458;       0.000
           4;       1706395794.351725;           0;           0;          15;       0.000;       0.000;       0.000;       0.000; -0.96537679; -0.39097458;       0.000
           4;       1706395794.351725;           0;           0;          16;       0.000;       0.000;       0.000;       0.000; -0.94792354; -0.39097458;       0.000
           4;       1706395794.351725;           0;           0;          17;       0.000;       0.000;       0.000;       0.000; -0.93047023; -0.39097458;       0.000
           4;       1706395794.351725;           0;           0;          18;       0.000;       0.000;       0.000;       0.000; -0.91301692; -0.39097458;       0.000
           4;       1706395794.351725;           0;           0;          19;       0.000;       0.000;       0.000;       0.000; -0.89556366; -0.39097458;       0.000
           4;       1706395794.351725;           0;           0;          20;       0.000;       0.000;       0.000;       0.000; -0.87811035; -0.39097458;       0.000
           4;       1706395794.351725;           0;           0;          21;       0.000;       0.000;       0.000;       0.000; -0.86065704; -0.39097458;       0.000
           4;       1706395794.351725;           0;           0;          22;       0.000;       0.000;       0.000;       0.000; -0.84320378; -0.39097458;       0.000
           4;       1706395794.351725;           0;           0;          23;       0.000;       0.000;       0.000;       0.000; -0.82575047; -0.39097458;       0.000
           4;       1706395794.351725;           0;           0;          24;       0.000;       0.000;       0.000;       0.000; -0.80829716; -0.39097458;       0.000
           4;       1706395794.351725;           0;           0;          25;       0.000;       0.000;       0.000;       0.000; -0.79084390; -0.39097458;       0.000
           4;       1706395794.351725;           0;           0;          26;       0.000;       0.000;       0.000;       0.000; -0.77339059; -0.39097458;       0.000
           4;       1706395794.351725;           0;           0;          27;       0.000;       0.000;       0.000;       0.000; -0.75593728; -0.39097458;       0.000
           4;       1706395794.351725;           0;           0;          28;       0.000;       0.000;       0.000;       0.000; -0.73848403; -0.39097458;       0.000
           4;       1706395794.351725;           0;           0;          29;       0.000;       0.000;       0.000;       0.000; -0.72103071; -0.39097458;       0.000
           4;       1706395794.351725;           0;           1;           0;       0.000;       0.000;       0.000;       0.000; -1.22717619; -0.39097458;       0.000
           4;       1706395794.351725;           0;           1;           1;       0.000;       0.000;       0.000;       0.000; -1.20972288; -0.39097458;       0.000
           4;       1706395794.351725;           0;           1;           2;       0.000;       0.000;       0.000;       0.000; -1.19226956; -0.39097458;       0.000
           4;       1706395794.351725;           0;           1;           3;       0.000;       0.000;       0.000;       0.000; -1.17481637; -0.39097458;       0.000
           4;       1706395794.351725;           0;           1;           4;       0.000;       0.000;       0.000;       0.000; -1.15736306; -0.39097458;       0.000
           4;       1706395794.351725;           0;           1;           5;       0.000;       0.000;       0.000;       0.000; -1.13990974; -0.39097458;       0.000
           4;       1706395794.351725;           0;           1;           6;       0.000;       0.000;       0.000;       0.000; -1.12245643; -0.39097458;       0.000
           4;       1706395794.351725;           0;           1;           7;       0.000;       0.000;       0.000;       0.000; -1.10500312; -0.39097458;       0.000
           4;       1706395794.351725;           0;           1;           8;       0.000;       0.000;       0.000;       0.000; -1.08754981; -0.39097458;       0.000
           4;       1706395794.351725;           0;           1;           9;       0.000;       0.000;       0.000;       0.000; -1.07009661; -0.39097458;       0.000
           4;       1706395794.351725;           0;           1;          10;       0.000;       0.000;       0.000;       0.000; -1.05264330; -0.39097458;       0.000
           4;       1706395794.351725;           0;           1;          11;       0.000;       0.000;       0.000;       0.000; -1.03518999; -0.39097458;       0.000
           4;       1706395794.351725;           0;           1;          12;       0.000;       0.000;       0.000;       0.000; -1.01773667; -0.39097458;       0.000
           4;       1706395794.351725;           0;           1;          13;       0.000;       0.000;       0.000;       0.000; -1.00028336; -0.39097458;       0.000
           4;       1706395794.351725;           0;           1;          14;       0.000;       0.000;       0.000;       0.000; -0.98283011; -0.39097458;       0.000
           4;       1706395794.351725;           0;           1;          15;       0.000;       0.000;       0.000;       0.000; -0.96537679; -0.39097458;       0.000
           4;       1706395794.351725;           0;           1;          16;       0.000;       0.000;       0.000;       0.000; -0.94792354; -0.39097458;       0.000
