SegmentIndex;               Timestamp;    GroupIdx;     EchoIdx;    PointIdx;           X;           Y;           Z;       Range;     Azimuth;   Elevation;   Intensity
          11;       1706395793.710844;           0;           0;           0;      -1.441;       1.223;      -0.779;       2.044;  2.43801570; -0.39097458;   43903.000
          11;       1706395793.710844;           0;           0;           1;      -1.459;       1.195;      -0.777;       2.040;  2.45546889; -0.39097458;   43647.000
          11;       1706395793.710844;           0;           0;           2;      -1.481;       1.170;      -0.778;       2.042;  2.47292233; -0.39097458;   44031.000
          11;       1706395793.710844;           0;           0;           3;      -1.500;       1.143;      -0.777;       2.040;  2.49037552; -0.39097458;   43519.000
          11;       1706395793.710844;           0;           0;           4;      -1.519;       1.116;      -0.777;       2.039;  2.50782895; -0.39097458;   43775.000
          11;       1706395793.710844;           0;           0;           5;      -1.538;       1.089;      -0.777;       2.038;  2.52528214; -0.39097458;   43903.000
          11;       1706395793.710844;           0;           0;           6;      -1.553;       1.060;      -0.775;       2.033;  2.54273534; -0.39097458;   43391.000
          11;       1706395793.710844;           0;           0;           7;      -0.848;       0.557;      -0.418;       1.097;  2.56018877; -0.39097458;   38143.000
          11;       1706395793.710844;           0;           0;           8;      -1.591;       1.006;      -0.776;       2.036;  2.57764196; -0.39097458;   43775.000
          11;       1706395793.710844;           0;           0;           9;      -1.606;       0.977;      -0.775;       2.033;  2.59509540; -0.39097458;   43903.000
          11;       1706395793.710844;           0;           0;          10;      -1.622;       0.948;      -0.774;       2.032;  2.61254859; -0.39097458;   44031.000
          11;       1706395793.710844;           0;           0;          11;      -1.642;       0.922;      -0.776;       2.037;  2.63000202; -0.39097458;   44159.000
          11;       1706395793.710844;           0;           0;          12;      -1.652;       0.890;      -0.774;       2.030;  2.64745522; -0.39097458;   44031.000
          11;       1706395793.710844;           0;           0;          13;      -1.663;       0.859;      -0.772;       2.025;  2.66490841; -0.39097458;   43519.000
          11;       1706395793.710844;           0;           0;          14;      -1.671;       0.826;      -0.768;       2.016;  2.68236184; -0.39097458;   42751.000
          11;       1706395793.710844;           0;           0;          15;      -1.688;       0.798;      -0.770;       2.020;  2.69981503; -0.39097458;   42751.000
          11;       1706395793.710844;           0;           0;          16;      -1.703;       0.769;      -0.770;       2.021;  2.71726847; -0.39097458;   43775.000
