SegmentIndex;               Timestamp;    GroupIdx;     EchoIdx;    PointIdx;           X;           Y;           Z;       Range;     Azimuth;   Elevation;   Intensity
           1;       1706395794.222041;           0;           0;           0;      -1.714;      -0.613;      -0.750;       1.969; -2.79797220; -0.39097458;   42367.000
           1;       1706395794.222041;           0;           0;           1;      -1.708;      -0.645;      -0.753;       1.975; -2.78051901; -0.39097458;   42111.000
           1;       1706395794.222041;           0;           0;           2;      -1.694;      -0.674;      -0.752;       1.972; -2.76306558; -0.39097458;   42623.000
           1;       1706395794.222041;           0;           0;           3;      -1.681;      -0.703;      -0.751;       1.971; -2.74561238; -0.39097458;   42111.000
           1;       1706395794.222041;           0;           0;           4;      -1.672;      -0.734;      -0.753;       1.975; -2.72815895; -0.39097458;   42879.000
           1;       1706395794.222041;           0;           0;           5;      -1.652;      -0.759;      -0.749;       1.966; -2.71070576; -0.39097458;   32127.000
           1;       1706395794.222041;           0;           0;           6;       0.000;       0.000;       0.000;       0.000; -2.69325256; -0.39097458;       0.000
           1;       1706395794.222041;           0;           0;           7;      -1.565;      -0.787;      -0.722;       1.895; -2.67579913; -0.39097458;    9087.000
           1;       1706395794.222041;           0;           0;           8;      -1.551;      -0.814;      -0.722;       1.895; -2.65834594; -0.39097458;   24063.000
           1;       1706395794.222041;           0;           0;           9;      -1.556;      -0.851;      -0.731;       1.918; -2.64089251; -0.39097458;   26367.000
           1;       1706395794.222041;           0;           0;          10;      -1.573;      -0.897;      -0.746;       1.958; -2.62343931; -0.39097458;   19839.000
           1;       1706395794.222041;           0;           0;          11;      -1.564;      -0.928;      -0.750;       1.967; -2.60598588; -0.39097458;   42111.000
           1;       1706395794.222041;           0;           0;          12;      -1.547;      -0.955;      -0.749;       1.966; -2.58853269; -0.39097458;   40831.000
           1;       1706395794.222041;           0;           0;          13;      -1.532;      -0.983;      -0.750;       1.969; -2.57107949; -0.39097458;   39295.000
           1;       1706395794.222041;           0;           0;          14;      -1.520;      -1.013;      -0.753;       1.976; -2.55362606; -0.39097458;   33407.000
           1;       1706395794.222041;           0;           0;          15;      -1.492;      -1.033;      -0.748;       1.963; -2.53617287; -0.39097458;    9855.000
           1;       1706395794.222041;           0;           0;          16;       0.000;       0.000;       0.000;       0.000; -2.51871943; -0.39097458;       0.000
           1;       1706395794.222041;           0;           0;          17;      -0.186;      -0.139;      -0.096;       0.251; -2.50126624; -0.39097458;   27647.000
